solved;AADPOR_EXPL.ConcurrencySafety;AADPOR_PRED.ConcurrencySafety;AASPOR_EXPL.ConcurrencySafety;AASPOR_PRED.ConcurrencySafety;DPOR_EXPL.ConcurrencySafety;DPOR_PRED.ConcurrencySafety;SPOR_EXPL.ConcurrencySafety;SPOR_PRED.ConcurrencySafety
89;9,94;9,65;8,15;9,34;10,05;10,93;8,03;8,70
90;9,96;10,36;8,18;9,35;10,05;11,04;8,07;8,84
91;9,97;10,42;8,18;9,40;10,10;11,12;8,12;8,89
92;9,99;10,54;8,18;9,41;10,14;11,14;8,13;8,91
93;10,02;10,61;8,19;9,62;10,19;11,15;8,14;8,94
94;10,05;10,76;8,19;9,66;10,19;11,28;8,20;9,02
95;10,08;10,88;8,21;9,73;10,21;11,38;8,22;9,03
96;10,11;11,13;8,23;9,83;10,23;11,40;8,24;9,11
97;10,14;11,20;8,24;9,83;10,27;11,55;8,30;9,17
98;10,34;11,22;8,26;9,95;10,33;11,62;8,31;9,29
99;10,40;11,53;8,29;9,97;10,43;11,84;8,32;9,37
100;10,40;11,69;8,29;9,99;10,50;11,90;8,34;9,37
101;10,41;11,75;8,29;10,01;10,55;11,92;8,34;9,40
102;10,43;11,82;8,32;10,19;10,61;11,99;8,35;9,45
103;10,48;11,83;8,33;10,31;10,62;12,09;8,35;9,54
104;10,52;11,88;8,33;10,43;10,64;12,12;8,36;9,54
105;10,79;12,19;8,38;10,53;10,65;12,27;8,38;9,55
106;10,81;12,26;8,39;10,54;10,66;12,27;8,39;9,59
107;10,82;12,36;8,44;10,54;10,78;12,29;8,40;9,64
108;10,83;12,48;8,47;10,60;10,80;12,37;8,42;9,87
109;10,84;12,52;8,50;10,64;10,83;12,50;8,47;9,88
110;10,84;12,54;8,55;10,68;10,86;12,55;8,47;9,91
111;10,91;12,80;8,58;10,74;10,93;12,64;8,48;10,01
112;10,96;13,14;8,58;10,79;10,95;12,68;8,60;10,02
113;11,10;13,27;8,61;11,08;11,00;12,91;8,60;10,04
114;11,23;13,37;8,61;11,12;11,02;12,96;8,60;10,05
115;11,25;13,45;8,67;11,14;11,07;13,07;8,68;10,08
116;11,26;13,55;8,68;11,19;11,10;13,45;8,71;10,11
117;11,30;13,56;8,71;11,20;11,28;13,49;8,76;10,16
118;11,31;13,72;8,72;11,25;11,30;13,53;8,79;10,36
119;11,43;13,97;8,84;11,34;11,35;13,55;8,81;10,45
120;11,44;14,02;8,85;11,43;11,44;13,55;8,83;10,49
121;11,49;14,33;8,95;11,48;11,50;13,64;8,86;10,51
122;11,50;14,35;9,01;11,54;11,55;13,68;8,87;10,52
123;11,64;14,55;9,08;11,57;11,57;13,79;8,94;10,56
124;11,64;14,55;9,16;11,58;11,60;13,79;8,96;10,65
125;11,65;14,64;9,20;11,67;11,85;13,79;8,96;10,81
126;11,80;14,64;9,21;11,68;11,91;13,90;8,97;10,81
127;11,81;14,76;9,25;11,74;11,96;13,95;9,00;10,95
128;11,94;14,91;9,33;11,89;12,18;13,96;9,03;11,00
129;11,94;14,93;9,40;11,89;12,19;14,05;9,07;11,06
130;12,14;14,94;9,45;12,03;12,28;14,21;9,11;11,27
131;12,26;14,98;9,46;12,11;12,52;14,33;9,23;11,29
132;12,32;15,06;9,51;12,12;12,56;14,53;9,28;11,31
133;12,35;15,08;9,59;12,29;12,70;14,75;9,30;11,48
134;12,39;15,11;9,61;12,46;12,76;14,88;9,40;11,51
135;12,41;15,28;9,63;12,50;12,78;14,90;9,40;11,62
136;12,71;15,31;9,79;12,53;12,84;14,91;9,50;11,62
137;13,08;15,39;9,84;12,63;13,02;14,92;9,52;11,67
138;13,12;15,58;9,85;12,73;13,16;15,15;9,54;11,76
139;13,39;15,60;9,86;12,77;13,20;15,39;9,56;12,00
140;13,51;15,70;9,87;12,91;13,78;15,60;9,56;12,01
141;13,52;16,01;9,90;12,95;13,80;15,63;9,61;12,02
142;13,63;16,56;10,01;12,98;13,85;15,68;9,61;12,21
143;13,78;16,72;10,03;13,11;13,91;15,83;9,83;12,23
144;13,79;16,73;10,06;13,22;14,12;16,18;9,95;12,25
145;14,65;16,80;10,10;13,25;14,15;16,27;10,03;12,32
146;14,71;17,00;10,16;13,41;14,24;16,41;10,05;12,32
147;14,80;17,04;10,22;13,41;14,32;16,62;10,07;12,33
148;14,85;17,11;10,24;13,62;14,37;16,94;10,10;12,36
149;14,91;17,18;10,25;13,65;14,44;16,94;10,39;12,36
150;15,05;17,26;10,31;13,65;14,98;16,95;10,51;12,42
151;15,28;17,29;10,32;13,82;15,02;17,25;10,66;12,43
152;15,33;17,31;10,32;13,83;15,09;17,36;10,71;12,49
